dataset,accuracy_dropout,accuracy_ensemble,accuracy_mean,accuracy_mean_rep_ridge,accuracy_standard_deviation,accuracy_std_rep_ridge,delta_mean,margin_dropout,margin_ensemble,margin_roc_auc_dropout,margin_roc_auc_ensemble,maxprob_dropout,maxprob_ensemble,maxprob_roc_auc_dropout,maxprob_roc_auc_ensemble,mutual_information_dropout,mutual_information_ensemble,mutual_information_roc_auc_dropout,mutual_information_roc_auc_ensemble,predictive_entropy_dropout,predictive_entropy_ensemble,predictive_entropy_roc_auc_dropout,predictive_entropy_roc_auc_ensemble,std_averaged_over_ensemble_dropout,std_averaged_over_ensemble_ensemble,std_averaged_over_ensemble_roc_auc_dropout,std_averaged_over_ensemble_roc_auc_ensemble,std_dropout,std_ensemble,std_roc_auc_dropout,std_roc_auc_ensemble
Adiac,0.7979539632797241,0.7953963875770569,0.78465473,0.7859335038363172,0.00508659,0.0070553013934187,-0.0012787738363172,0.7403334975242615,0.7469233274459839,0.8399464459591043,0.8510450160771703,0.7361027002334595,0.7466174364089966,0.8374716001298279,0.8501607717041801,0.7219384908676147,0.7276052236557007,0.8203911067835118,0.8366157556270096,0.6921593546867371,0.709126889705658,0.8061100292112949,0.8236334405144695,0.7490295171737671,0.7417855858802795,0.8422995780590719,0.8484726688102894,0.7256587147712708,0.7404255270957947,0.8291950665368388,0.8451768488745982
ArrowHead,0.7542856931686401,0.7942857146263123,0.80514286,0.8011428571428573,0.01581067,0.0061544740652965,0.0040000028571427,0.5979210138320923,0.580315351486206,0.7538759689922481,0.7346123101518786,0.5993747711181641,0.5824355483055115,0.7545806906272022,0.7362110311750599,0.6151570081710815,0.5547674298286438,0.7626849894291754,0.7284172661870504,0.5991968512535095,0.5808470249176025,0.7544045102184637,0.7360111910471622,0.6098731160163879,0.5619701147079468,0.7596899224806203,0.7320143884892086,0.5992234945297241,0.5832399129867554,0.7544045102184637,0.7370103916866507
Beef,0.8000000715255737,0.8000000715255737,0.83333333,0.78,0.0,0.0163299316185545,0.0533333299999999,0.5347383618354797,0.6966125965118408,0.7222222222222222,0.7569444444444444,0.5241600871086121,0.6583747863769531,0.7152777777777777,0.7222222222222222,0.5282079577445984,0.5782981514930725,0.7152777777777779,0.6597222222222223,0.5321995615959167,0.6375820636749268,0.7222222222222223,0.7083333333333333,0.5528271198272705,0.6314054131507874,0.7361111111111112,0.6944444444444444,0.5241600871086121,0.6437527537345886,0.7152777777777777,0.7083333333333333
BeetleFly,0.699999988079071,0.949999988079071,0.9,0.8700000000000001,0.0,0.0244948974278318,0.0299999999999999,-0.2140021473169326,0.3529834747314453,0.4047619047619047,0.5263157894736842,-0.2140021473169326,0.3529834747314453,0.4047619047619047,0.5263157894736842,-0.2969340682029724,-0.3848845660686493,0.3571428571428571,0.2631578947368421,-0.2140021473169326,0.3529834747314453,0.4047619047619047,0.5263157894736842,-0.2515264749526977,0.1117137372493743,0.3809523809523809,0.4210526315789473,-0.2140021473169326,0.3529834747314453,0.4047619047619047,0.5263157894736842
BirdChicken,0.9000000357627869,0.8500000238418579,0.9,0.9,0.0,0.0,0.0,0.5530786514282227,0.9406421184539796,0.6388888888888888,0.9215686274509804,0.5530786514282227,0.9406421184539796,0.6388888888888888,0.9215686274509804,0.6457622647285461,0.8879654407501221,0.6944444444444444,0.8823529411764706,0.5530786514282227,0.9406421184539796,0.6388888888888888,0.9215686274509804,0.6457622647285461,0.9117549061775208,0.6944444444444444,0.9019607843137256,0.5530786514282227,0.9406421184539796,0.6388888888888888,0.9215686274509804
CBF,0.9600000381469728,0.9600000381469728,0.99988889,1.0,0.00035136,0.0,-0.0001111099999999,0.950207531452179,0.956575095653534,0.9522890946502058,0.9577224794238683,0.9501259326934814,0.9566975831985474,0.9522247942386832,0.9578510802469136,0.9523714780807496,0.9493059515953064,0.9541859567901236,0.9505208333333334,0.950193464756012,0.9573395848274232,0.9522890946502058,0.95849408436214,0.9510510563850404,0.9495124816894532,0.9529963991769548,0.950778034979424,0.9501251578330994,0.9568888545036316,0.9522247942386832,0.9580439814814816
Car,0.8166667222976685,0.7833333611488342,0.89166667,0.9,0.02115493,0.0,-0.00833333,0.7704755663871765,0.9299771785736084,0.8181818181818182,0.9230769230769232,0.765934407711029,0.9211645126342772,0.8163265306122449,0.9148936170212766,0.7686288356781006,0.9330387711524964,0.8181818181818182,0.9361702127659576,0.7716000080108643,0.913295030593872,0.8218923933209648,0.9083469721767594,0.7651659846305847,0.9325042366981506,0.8144712430426716,0.9312602291325696,0.7677668333053589,0.9211645126342772,0.8181818181818182,0.9148936170212766
ChlorineConcentration,0.6098958849906921,0.624218761920929,0.81299479,0.8117708333333333,0.00539376,0.0072793795284656,0.0012239566666666,0.4468273818492889,0.5013426542282104,0.6686966054369105,0.6936315346828488,0.4549109935760498,0.5097905397415161,0.6704435974410515,0.6972023530221276,0.3569013178348541,0.3572162389755249,0.6196753656170082,0.6304959045885203,0.4506790339946747,0.5022132992744446,0.6638324483883435,0.6894159973008533,0.4108212292194366,0.4400793612003326,0.642940373672155,0.6627627916739306,0.4517822563648224,0.5054491758346558,0.6663459049868939,0.6929619520357944
CinCECGTorso,0.7123188376426697,0.7166666984558105,0.83492754,0.8086231884057969,0.00555871,0.0036585233511201,0.026304351594203,0.6229090094566345,0.6332588791847229,0.7468142298161952,0.7845766345400428,0.6201372146606445,0.6362425088882446,0.745750811657113,0.7870902174559541,0.6408218741416931,0.6643519401550293,0.7535201703519017,0.8036612455682584,0.6182578206062317,0.6366769075393677,0.7449564511045454,0.7879591103157753,0.6329795718193054,0.6624929904937744,0.7512857109911313,0.8042172335589179,0.6204307675361633,0.6377877593040466,0.7460839305985123,0.788698703642885
Coffee,0.9642857313156128,0.9642857313156128,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9629629629629628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9629629629629628,1.0,1.0,1.0,1.0
