dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds,accuracy_mean_rep_ridge,accuracy_std_rep_ridge,accuracy_mean_rep_logreg,accuracy_std_rep_logreg,delta_mean
Adiac,0.78465473,0.00508659,9.85,8.07,0.7859335038363172,0.007055301393418797,,,-0.0012787738363172485
ArrowHead,0.80514286,0.01581067,1.68,5.13,0.8011428571428573,0.006154474065296568,,,0.004000002857142748
Beef,0.83333333,0.0,2.28,1.92,0.78,0.01632993161855452,,,0.05333332999999996
BeetleFly,0.9,0.0,1.56,1.2,0.8700000000000001,0.024494897427831803,,,0.029999999999999916
BirdChicken,0.9,0.0,1.6,1.22,0.9,0.0,,,0.0
CBF,0.99988889,0.00035136,1.15,13.47,1.0,0.0,,,-0.00011110999999996984
Car,0.89166667,0.02115493,4.45,4.07,0.9,0.0,,,-0.008333330000000028
ChlorineConcentration,0.81299479,0.00539376,10.75,69.6,0.8117708333333333,0.007279379528465636,,,0.0012239566666666368
CinCECGTorso,0.83492754,0.00555871,7.76,239.75,0.8086231884057969,0.003658523351120103,,,0.02630435159420308
Coffee,1.0,0.0,1.56,1.25,1.0,0.0,,,0.0
Computers,0.76,0.00864099,20.51,19.46,0.766,0.006000000000000005,,,-0.006000000000000005
CricketX,0.82230769,0.00580316,14.82,13.13,0.82,0.00676456715808868,,,0.0023076900000000844
CricketY,0.85025641,0.0067516,14.67,13.03,0.8620512820512822,0.004837939042080331,,,-0.011794872051282268
CricketZ,0.85769231,0.00848266,14.73,13.03,0.860769230769231,0.003635242789425116,,,-0.0030769207692309397
DiatomSizeReduction,0.97026144,0.00605531,1.28,11.82,0.9640522875816993,0.0041336962878017885,,,0.0062091524183007785
DistalPhalanxOutlineAgeGroup,0.75467626,0.00715416,5.98,1.73,0.7474820143884892,0.012646327936148897,,,0.00719424561151083
DistalPhalanxOutlineCorrect,0.76775362,0.00861645,8.57,3.07,0.7684782608695653,0.010802935881069264,,,-0.0007246408695652518
DistalPhalanxTW,0.71870504,0.00227502,5.91,1.72,0.6964028776978418,0.01395015786306856,,,0.0223021623021582
ECG200,0.906,0.00516398,2.0,1.52,0.917,0.004582575694955844,,,-0.01100000000000001
ECG5000,0.94697778,0.0006036,10.47,69.95,0.9479111111111111,0.0003999999999999769,,,-0.0009333311111111575
ECGFiveDays,1.0,0.0,0.89,13.49,1.0,0.0,,,0.0
Earthquakes,0.74820144,0.0,19.54,8.07,0.7553956834532374,0.007194244604316569,,,-0.007194243453237381
ElectricDevices,0.73054079,0.00233016,360.51,84.96,0.7300090779406043,0.0014104682443154672,,,0.0005317120593957281
FaceAll,0.94751479,0.00263223,11.15,25.13,0.9585207100591715,0.0023882172864627825,,,-0.011005920059171448
FaceFour,0.975,0.00479133,1.44,3.54,0.9772727272727272,1.1102230246251565e-16,,,-0.002272727272727204
FacesUCR,0.96160976,0.00051676,4.3,30.42,0.9576097560975609,0.0011429633672058528,,,0.004000003902439042
FiftyWords,0.83054945,0.00522668,15.75,13.83,0.83010989010989,0.002609745513634714,,,0.0004395598901100195
Fish,0.97885714,0.00895441,9.8,9.08,0.9845714285714285,0.002618614682831889,,,-0.005714288571428527
FordA,0.94492424,0.00283571,227.42,71.57,0.9368181818181819,0.003181818181818204,,,0.008106058181818088
FordB,0.8062963,0.00608859,229.43,43.74,0.7944444444444444,0.00846827192081112,,,0.011851855555555568
GunPoint,1.0,0.0,1.57,2.91,1.0,0.0,,,0.0
Ham,0.72571429,0.01606236,5.95,5.23,0.72,0.010605265453009528,,,0.005714290000000011
HandOutlines,0.94162162,0.0031724,291.68,106.7,0.9429729729729729,0.0018918918918918726,,,-0.0013513529729728413
Haptics,0.525,0.00460434,19.02,36.08,0.5256493506493507,0.005325071255472961,,,-0.0006493506493506773
Herring,0.6859375,0.02010444,4.27,3.87,0.61875,0.01739926363384382,,,0.06718749999999996
InlineSkate,0.45818182,0.00492366,20.81,109.95,0.4843636363636364,0.005703413505948405,,,-0.026181816363636368
InsectWingbeatSound,0.65656566,0.00215593,7.71,55.68,0.6631818181818183,0.0018686868686868699,,,-0.006616158181818266
ItalyPowerDemand,0.96909621,0.00089304,1.03,4.55,0.968901846452867,0.000614631226466143,,,0.00019436354713298076
