,accuracy,predictive_entropy_roc_auc,predictive_entropy,mutual_information_roc_auc,mutual_information,margin_roc_auc,margin,std_averaged_over_ensemble_roc_auc,std_averaged_over_ensemble,std_roc_auc,std,maxprob_roc_auc,maxprob
Adiac,0.7979539632797241,0.8061100292112949,0.6921593546867371,0.8203911067835118,0.7219384908676147,0.8399464459591043,0.7403334975242615,0.8422995780590719,0.7490295171737671,0.8291950665368388,0.7256587147712708,0.8374716001298279,0.7361027002334595
ArrowHead,0.7542856931686401,0.7544045102184637,0.5991968512535095,0.7626849894291754,0.6151570081710815,0.7538759689922481,0.5979210138320923,0.7596899224806203,0.6098731160163879,0.7544045102184637,0.5992234945297241,0.7545806906272022,0.5993747711181641
Beef,0.8000000715255737,0.7222222222222223,0.5321995615959167,0.7152777777777779,0.5282079577445984,0.7222222222222222,0.5347383618354797,0.7361111111111112,0.5528271198272705,0.7152777777777777,0.5241600871086121,0.7152777777777777,0.5241600871086121
BeetleFly,0.699999988079071,0.40476190476190477,-0.21400214731693268,0.35714285714285715,-0.2969340682029724,0.40476190476190477,-0.21400214731693268,0.38095238095238093,-0.25152647495269775,0.40476190476190477,-0.21400214731693268,0.40476190476190477,-0.21400214731693268
BirdChicken,0.9000000357627869,0.6388888888888888,0.5530786514282227,0.6944444444444444,0.6457622647285461,0.6388888888888888,0.5530786514282227,0.6944444444444444,0.6457622647285461,0.6388888888888888,0.5530786514282227,0.6388888888888888,0.5530786514282227
CBF,0.9600000381469727,0.9522890946502058,0.950193464756012,0.9541859567901235,0.9523714780807495,0.9522890946502058,0.950207531452179,0.9529963991769549,0.9510510563850403,0.9522247942386831,0.9501251578330994,0.9522247942386832,0.9501259326934814
Car,0.8166667222976685,0.8218923933209648,0.7716000080108643,0.8181818181818182,0.7686288356781006,0.8181818181818182,0.7704755663871765,0.8144712430426716,0.7651659846305847,0.8181818181818182,0.7677668333053589,0.8163265306122449,0.765934407711029
ChlorineConcentration,0.6098958849906921,0.6638324483883435,0.4506790339946747,0.6196753656170082,0.3569013178348541,0.6686966054369105,0.44682738184928894,0.642940373672155,0.41082122921943665,0.6663459049868939,0.4517822563648224,0.6704435974410515,0.4549109935760498
CinCECGTorso,0.7123188376426697,0.7449564511045454,0.6182578206062317,0.7535201703519017,0.6408218741416931,0.7468142298161952,0.6229090094566345,0.7512857109911313,0.6329795718193054,0.7460839305985123,0.6204307675361633,0.745750811657113,0.6201372146606445
Coffee,0.9642857313156128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Computers,0.7720000147819519,0.701208981001727,0.5430200099945068,0.702754295064085,0.5696299076080322,0.701208981001727,0.5430200099945068,0.7007544768657394,0.5590879321098328,0.701208981001727,0.5430200099945068,0.701208981001727,0.5430200099945068
CricketX,0.7512820959091187,0.8507089827944126,0.7726550698280334,0.7936385067379754,0.7138563990592957,0.8396959994370359,0.7589835524559021,0.8206255937510996,0.742669939994812,0.8529256535660251,0.7746824622154236,0.8493719432813763,0.7707363367080688
CricketY,0.7461538910865784,0.79624422923392,0.7070035338401794,0.7887812836266446,0.7036903500556946,0.785032455135548,0.6924718022346497,0.7965219202332605,0.7128840088844299,0.792530112117741,0.7020754814147949,0.7912805026207088,0.7003340125083923
CricketZ,0.7692307829856873,0.8661851851851851,0.7787608504295349,0.8324444444444445,0.7713801264762878,0.871,0.7830485701560974,0.8511481481481482,0.7754505276679993,0.8684074074074074,0.7818817496299744,0.8714074074074075,0.784936249256134
DiatomSizeReduction,0.8398693203926086,0.9058206940363694,0.8980710506439209,0.9145557055507028,0.9095130562782288,0.903914873342333,0.8960433006286621,0.9083617882950846,0.9018275141716003,0.9049471928849361,0.8971385359764099,0.9052648296672755,0.8974350690841675
DistalPhalanxOutlineAgeGroup,0.7266187071800232,0.6711829077644608,0.4521920680999756,0.6782178217821783,0.4954755902290344,0.6727462219906202,0.4587610960006714,0.678999478895258,0.4822593927383423,0.6748306409588328,0.45908182859420776,0.674048983845753,0.45832324028015137
DistalPhalanxOutlineCorrect,0.8079710006713867,0.7576783145782215,0.5895053148269653,0.7629241052542517,0.6025514602661133,0.7576783145782215,0.5895053148269653,0.7596243336999745,0.5979969501495361,0.7576783145782215,0.5895053148269653,0.7576783145782215,0.5895053148269653
