,accuracy,predictive_entropy_roc_auc,predictive_entropy,mutual_information_roc_auc,mutual_information,margin_roc_auc,margin,std_averaged_over_ensemble_roc_auc,std_averaged_over_ensemble,std_roc_auc,std,maxprob_roc_auc,maxprob
Adiac,0.7953963875770569,0.8236334405144695,0.709126889705658,0.8366157556270096,0.7276052236557007,0.8510450160771703,0.7469233274459839,0.8484726688102894,0.7417855858802795,0.8451768488745982,0.7404255270957947,0.8501607717041801,0.7466174364089966
ArrowHead,0.7942857146263123,0.7360111910471622,0.5808470249176025,0.7284172661870504,0.5547674298286438,0.7346123101518786,0.580315351486206,0.7320143884892086,0.5619701147079468,0.7370103916866507,0.5832399129867554,0.7362110311750599,0.5824355483055115
Beef,0.8000000715255737,0.7083333333333333,0.6375820636749268,0.6597222222222223,0.5782981514930725,0.7569444444444444,0.6966125965118408,0.6944444444444444,0.6314054131507874,0.7083333333333333,0.6437527537345886,0.7222222222222222,0.6583747863769531
BeetleFly,0.949999988079071,0.5263157894736842,0.3529834747314453,0.2631578947368421,-0.3848845660686493,0.5263157894736842,0.3529834747314453,0.4210526315789473,0.1117137372493743,0.5263157894736842,0.3529834747314453,0.5263157894736842,0.3529834747314453
BirdChicken,0.8500000238418579,0.9215686274509804,0.9406421184539796,0.8823529411764706,0.8879654407501221,0.9215686274509804,0.9406421184539796,0.9019607843137256,0.9117549061775208,0.9215686274509804,0.9406421184539796,0.9215686274509804,0.9406421184539796
CBF,0.9600000381469728,0.95849408436214,0.9573395848274232,0.9505208333333334,0.9493059515953064,0.9577224794238683,0.956575095653534,0.950778034979424,0.9495124816894532,0.9580439814814816,0.9568888545036316,0.9578510802469136,0.9566975831985474
Car,0.7833333611488342,0.9083469721767594,0.913295030593872,0.9361702127659576,0.9330387711524964,0.9230769230769232,0.9299771785736084,0.9312602291325696,0.9325042366981506,0.9148936170212766,0.9211645126342772,0.9148936170212766,0.9211645126342772
ChlorineConcentration,0.624218761920929,0.6894159973008533,0.5022132992744446,0.6304959045885203,0.3572162389755249,0.6936315346828488,0.5013426542282104,0.6627627916739306,0.4400793612003326,0.6929619520357944,0.5054491758346558,0.6972023530221276,0.5097905397415161
CinCECGTorso,0.7166666984558105,0.7879591103157753,0.6366769075393677,0.8036612455682584,0.6643519401550293,0.7845766345400428,0.6332588791847229,0.8042172335589179,0.6624929904937744,0.788698703642885,0.6377877593040466,0.7870902174559541,0.6362425088882446
Coffee,0.9642857313156128,1.0,1.0,0.9629629629629628,1.0,1.0,1.0,0.9629629629629628,1.0,1.0,1.0,1.0,1.0
Computers,0.7760000228881836,0.6831737849779087,0.5120464563369751,0.639819587628866,0.4530998766422272,0.6831737849779087,0.5120464563369751,0.6630154639175257,0.4866878688335418,0.6831737849779087,0.5120464563369751,0.6831737849779087,0.5120464563369751
CricketX,0.7410256862640381,0.8590907533659939,0.7816188931465149,0.8338415156394532,0.7505092620849609,0.8551166535338655,0.7692081332206726,0.8534721984309157,0.7744718194007874,0.8632361506046798,0.7799220681190491,0.8624481825345164,0.7789117097854614
CricketY,0.7487179636955261,0.7885099245177524,0.6959595680236816,0.7714215823315627,0.6745943427085876,0.7935071288789488,0.6978565454483032,0.790257198769919,0.7002434134483337,0.7940313111545988,0.7021939754486084,0.7987140061504053,0.7066176533699036
CricketZ,0.7897436022758484,0.8527082673424137,0.7577226758003235,0.8266154577130187,0.7289270162582397,0.8577367754197023,0.7619255781173706,0.8490655685777637,0.7512099146842957,0.8572220462464366,0.7626680135726929,0.8598748812163447,0.7652605772018433
DiatomSizeReduction,0.843137264251709,0.8410045219638244,0.8026988506317139,0.8290536175710594,0.7906886339187622,0.8440729974160208,0.8074122667312622,0.8285691214470283,0.7902165651321411,0.8422157622739017,0.8043698668479919,0.8425387596899224,0.8046791553497314
DistalPhalanxOutlineAgeGroup,0.7122302055358887,0.7459595959595959,0.6234484910964966,0.7616161616161616,0.676703691482544,0.7482323232323232,0.6227407455444336,0.7611111111111112,0.6657310724258423,0.7494949494949495,0.6266269087791443,0.7507575757575757,0.6275344491004944
DistalPhalanxOutlineCorrect,0.7862318754196167,0.7793485901741779,0.6340687870979309,0.7780207763805358,0.6323772668838501,0.7793485901741779,0.6340687870979309,0.7832539248613607,0.6396490931510925,0.7793485901741779,0.6340687870979309,0.7793485901741779,0.6340687870979309
